Compound,Formation_energy,E_above_hull,Hessian_eig_min_abs,C11,C22,C66,Thermo_stability_level,Dyn_stability_level,Thermo_Dyn_stability_level
Te-NO-Ce,-1.012686758,0.858516079,0.00034719518809324683,38.82031359,38.82031359,8.59229788,M,m,Mm
Te-NO-Co,0.042851573,0.792414246,0.021886948885459515,29.7076092,29.70756743,5.22297806,M,m,Mm
Te-NO-Cr,-0.247685068,0.969623878,0.02628741587528691,65.41757163,65.41748474,15.17736876,M,m,Mm
Te-NO-Fe,-0.00257062,0.755083776,0.05779910427264556,36.31968976,36.31962991,-2.77018826,M,l,Ml
Te-NO-Ga,0.130360455,1.117703457,0.021563514025360542,0.44592956,0.44590983,10.08352408,M,m,Mm
Te-NO-Gd,-0.733701968,0.659609268,8.239161481557359e-06,15.00084799,15.00084799,8.95384497,M,h,Mh
Te-NO-In,0.10116319,1.005789945,0.0005796347236126174,16.65437983,16.65424209,6.83552516,M,m,Mm
Te-NO-Ir,0.251744805,0.8099075729999999,0.016547919642599142,-7.606080199999999,-7.60604037,-0.46513613,L,l,Ll
Te-NO-La,-0.863932315,1.262399645,2.8053706479971354e-06,6.30278742,6.30278742,6.73783508,M,h,Mh
Te-NO-Lu,-0.7240414279999999,1.343806777,0.11443277450074905,37.14016874,37.14012751,10.55496827,M,m,Mm
Te-NO-Nd,-0.75959174,1.222901175,5.538166893099281e-06,22.93032812,22.693322,8.00568223,M,h,Mh
Te-NO-Rh,-0.008139193000000001,0.63777405,0.04944664462073632,14.29124023,14.29117986,1.82659064,M,m,Mm
Te-NO-Ru,0.114246718,0.799671922,0.01216568775032405,88.4276309,88.42734548,25.50261771,M,m,Mm
Te-NO-Sc,-1.008891688,1.006476554,0.028116915116751948,55.76666331,55.76646114,1.24004855,M,m,Mm
Te-NO-Sm,-0.722824173,1.277101025,0.0006358788358580861,3.36805265,3.36805265,8.92575705,M,m,Mm
Te-NO-Y,-0.7848638179999999,1.241241865,1.462520953542584e-05,12.43676875,12.43676875,8.99650682,M,m,Mm
Te-OCN-Al,-0.17717716600000002,1.192864016,0.02453195538944984,46.19729608,46.19729608,14.40494203,M,m,Mm
Te-OCN-Bi,-0.10456684,0.395626828,0.00012111781557054575,36.83863337,36.83863337,12.74628569,M,m,Mm
Te-OCN-Ce,-0.87822898,0.6187332879999999,1.8811409446838017e-05,41.21074322,41.21074322,15.10641401,M,m,Mm
Te-OCN-Co,0.001087072,0.6007372089999999,0.0240122820638848,53.69869662,53.69862099,16.49935025,M,m,Mm
Te-OCN-Cr,-0.292050472,0.681796683,0.02797578781631589,38.35387655,38.35377995,8.64121347,M,m,Mm
Te-OCN-Fe,-0.006126362,0.599997153,0.03389988812814612,-4.19762095,-4.19762095,1.91518228,M,l,Ml
