"Compound","C11","C22","C12","C66"
"SCN-SCN-Mn",26.53475032,26.53473002,91.76067024,-32.61295996
"SCN-SCN-Ni",42.15617118,42.15613064,31.71515053,5.22051032
"SCN-SCN-Pb",12.33042439,12.33042439,10.36096372,0.98474143
"SCN-SCN-Pd",7.64151619,7.64149559,40.02263219,-16.1905683
"SCN-SCN-Pt",24.5186911,24.51867074,41.69235157,-8.58683023
"SCN-SCN-Sr",16.27099961,16.2709779,13.68164986,1.29467487
"SCN-SCN-Zn",38.89087888,38.89083744,19.0589864,9.91592551
"SH-SH-Ba",13.33985188,13.33982153,5.04431474,4.14775339
"SH-SH-Be",51.52423709,51.52414846,30.84602999,10.33907696
"SH-SH-Ca",21.66024355,21.66020932,13.8630201,3.89860316
"SH-SH-Cd",22.3993344,22.39929706,24.18567913,-0.89319103
"SH-SH-Co",42.13139893,42.13133896,36.20084773,2.9652681
"SH-SH-Cu",22.90399846,22.90396135,43.33027227,-10.21314617
"SH-SH-Fe",93.26325241,93.2631185,26.07423412,33.59448045
"SH-SH-Mg",33.3440806,33.34402571,19.061908,7.14105885
"SH-SH-Mn",17.6842292,17.68419818,58.99906778,-20.65741929
"SH-SH-Ni",23.29041647,23.29037999,42.46921687,-9.5894002
"SH-SH-Pb",17.45448405,17.45444604,9.93632234,3.75906184
"SH-SH-Pd",14.86526146,14.86524554,43.80574794,-14.4702512
"SH-SH-Pt",-166.74712383,-166.74692873,240.02425922,-203.38565251
"SH-SH-Sr",18.45072474,18.45068882,10.89789459,3.77639711
"SH-SH-Zn",30.87107382,30.87101787,28.03076219,1.42015581
"NH-NH-Ce",100.11371724,100.11366385,35.08070394,32.51649775
"NH-NH-Ge",154.31335857,154.31337589,44.18855116,55.06241236
"NH-NH-Hf",149.03753465,149.03755254,36.99290141,56.02231662
"NH-NH-Ir",84.85335384,84.85337089,103.62546931,-9.3860492
"NH-NH-Mo",149.32320086,149.32325769,41.44689147,53.93816416
"NH-NH-Os",37.05794413,37.05794413,70.06040119,-16.50121918
"NH-NH-Pd",119.57266856,119.57266856,31.89004147,43.84130502
"NH-NH-Pt",145.08050266,145.08046872,40.42868646,52.32590809
"NH-NH-Re",143.2059772,143.20601522,34.61137603,54.29731008
"NH-NH-Ru",-64.32527183,-64.32527183,123.7305273,-94.02789957
"NH-NH-Sn",119.9885662,119.98854838,37.34596896,41.32129861
"NH-NH-Tc",139.31373661,139.31367949,30.63887438,54.33742159
"NH-NH-Te",74.08508837,74.08508837,34.25547479,19.91480678
"NH-NH-Ti",149.25036234,149.25029114,37.10510058,56.07260417
"NH-NH-W",133.93730697,133.93736402,65.85605792,34.04064353
"NH-NH-Zr",137.8601687,137.86011475,36.08301419,50.88855927
"PH-PH-Ce",33.47596921,33.47596921,18.30623531,7.58485744
"PH-PH-Ge",3.84128347,3.84128347,72.46562201,-34.31216926
"PH-PH-Hf",41.55277273,41.55277273,18.03114641,11.76082291
"PH-PH-Ir",89.46692389,89.46688806,58.87633021,15.29527892
"PH-PH-Mo",97.79474116,97.79474116,16.10444165,40.84514975
"PH-PH-Os",70.59844607,70.59844607,81.71876394,-5.56015893
"PH-PH-Pd",75.42968801,75.42970543,34.30089121,20.56439839
"PH-PH-Pt",102.3235533,102.3234838,36.54358631,32.8899748
"PH-PH-Re",-59.21528512,-59.21526569,101.63508373,-80.42518443
"PH-PH-Ru",56.12267096,56.12265247,74.31828114,-9.09781433
"PH-PH-Sn",34.01425321,34.01423464,31.05077233,1.48173115
"PH-PH-Tc",7.59251979,7.59251979,55.99195465,-24.19972723
"PH-PH-Te",22.67255955,22.67255955,17.5957548,2.53840237
"PH-PH-Ti",1.11900828,1.11900828,18.26717608,-8.57409387
"PH-PH-W",100.60996701,100.60996701,10.01133881,45.29930411
"PH-PH-Zr",28.71775561,28.71775561,12.25129368,8.23322112
"S-S-Ce",50.12210121,50.12210121,13.34778289,18.38715915
"S-S-Ge",85.69514544,85.69516508,21.15424352,32.27046077
"S-S-Hf",80.77551887,80.77551887,15.81280016,32.48134961
"S-S-Ir",71.82075284,71.82075284,34.29575927,18.76248761
"S-S-Mo",95.06679599,95.06677505,-6.33940422,50.70311057
"S-S-Os",64.1804772,64.1804772,48.49768712,7.84139503
"S-S-Pd",65.45238117,65.45236248,17.78327485,23.83455316
"S-S-Pt",86.11921833,86.11918182,22.20677276,31.95621365
"S-S-Re",79.66567667,79.66561357,-8.77591777,44.22077619
"S-S-Ru",43.36446321,43.36444434,42.05605626,0.65419404
"S-S-Sn",69.15727718,69.15725757,16.70125794,26.22799981
"S-S-Tc",97.47020713,97.47016429,-1.98083248,49.72551981
"S-S-Te",53.27098465,53.27096472,12.25050762,20.51022855
"S-S-Ti",69.95216762,69.95216762,11.31493442,29.3186265
"S-S-W",100.36613812,100.366076,-1.06555122,50.71582397
"S-S-Zr",74.31617587,74.31613692,14.84408784,29.73602454
"Se-Se-Ce",38.47815515,38.47815515,9.56834454,14.4549053
"Se-Se-Ge",57.74974358,57.74972369,27.61017636,15.06977366
"Se-Se-Hf",69.38812514,69.3881056,14.37878519,27.50466997
"Se-Se-Ir",37.02770206,37.02772044,38.2693839,-0.62084092
"Se-Se-Mo",99.13924993,99.13924993,0.63330166,49.25298475
"Se-Se-Os",51.14986503,51.14982791,41.92884106,4.61051198
"Se-Se-Pd",55.46794249,55.46794249,16.60642583,19.43074904
"Se-Se-Pt",73.4455026,73.44546645,20.81166955,26.31689845
"Se-Se-Re",105.08172398,105.0816592,-4.67344562,54.877574
"Se-Se-Ru",32.57996366,32.57996366,27.64370343,2.46813011
"Se-Se-Sn",57.88465274,57.88463361,14.37674108,21.75395582
"Se-Se-Tc",97.7496185,97.7496185,4.78388672,46.48286589
"Se-Se-Te",44.17401689,44.17401689,10.80814851,16.68293419
"Se-Se-Ti",57.82966272,57.82964243,12.3429007,22.74337086
"Se-Se-W",101.57762997,101.57762997,-0.51985322,51.04875218
"Se-Se-Zr",62.60628395,62.60628395,13.24994702,24.67816846
"Te-Te-Ce",22.52162663,22.52162663,4.07310459,9.22426961
"Te-Te-Ge",42.0840106,42.0840106,29.96668109,6.05865507
"Te-Te-Hf",43.90657967,43.90657967,7.68640309,18.11009792
"Te-Te-Ir",45.74154713,45.7415129,18.42569435,13.65792638
"Te-Te-Mo",89.71367227,89.71363137,-0.11725684,44.91546455
"Te-Te-Os",53.53711611,53.53708148,26.63098722,13.45305578
"Te-Te-Pd",48.18090856,48.18087519,15.39981555,16.3905465
"Te-Te-Pt",66.62355657,66.62355657,19.27656795,23.67350229
"Te-Te-Re",2.60159139,2.60159139,31.37262328,-14.38551594
"Te-Te-Ru",34.30779106,34.30779106,14.03442894,10.13668105
"Te-Te-Sn",35.47531479,35.4753319,21.15236764,7.16148213
"Te-Te-Tc",56.58087637,56.58085547,-3.22798729,29.90443183
"Te-Te-Ti",43.73256227,43.73256227,11.84060092,15.94597046
"Te-Te-W",87.28171704,87.28169697,-5.89137438,46.58653568
"Te-Te-Zr",41.42576377,41.42578323,8.88304933,16.27135721
"NH-Br-Al",119.44178346,119.44127883,33.52609708,42.95773008
"NH-Br-Bi",49.49377101,49.4933654,21.82936162,13.83209888
